,Topic,Words,Frequency,Timestamp
39,12,"works, railwaymens, signatures, bylaws, majority",3,1960.8
40,13,"councils, industry, bill, appointed, parliament",2,1960.8
41,14,"salinas, sinaseph, barnica, portillo, miss",7,1960.8
42,15,"cuttings, furnish, newspapers, panamab, complaintd",3,1960.8
43,16,"lechn, oquendo, good, convenient, rightsc",1,1960.8
44,18,"furnish, revolutionary, reaffirm, lesant, casielles",8,1960.8
45,20,"uih, mercy, discharged, militants, alcius",1,1960.8
46,-1,"dockers, tolosa, bareiro, mexicanos, petrleos",4,1964.4
47,0,"esguerra, cstc, paragraphs, good, oquendo",41,1964.4
48,1,"rationalisation, chemical, undertakings, disorders, ifctutw",7,1964.4
49,2,"plus, tourist, puno, cuzco, decisionthe",1,1964.4
50,3,"scott, paragraphs, landaz, puche, bidau",1,1964.4
51,4,"levelled, ovando, mayn, underground, ifctu",3,1964.4
52,6,"termsconcerned, allegationsalthough, substantiation, ifctus, ifctu",1,1964.4
53,7,"belforth, quesada, rojass, sitracoba, coerced",2,1964.4
54,8,"ifctu, macias, madariaga, mosan, amadeo",3,1964.4
55,9,"conatral, pacce, mobs, orit, di",5,1964.4
56,10,"petroleum, osasco, bahia, distilling, guanabara",2,1964.4
57,11,"parral, mexicanos, engagement, exclusion, petrleos",2,1964.4
58,12,"ptti, insertion, complaining, constitutions, statutesis",5,1964.4
59,13,"tricontinental, visas, theory, banning, foreign",2,1964.4
60,14,"boards, fecesitlih, lindo, matamoros, villalta",1,1964.4
61,15,"chiriqui, nonadmission, slaughterhouse, inspectorgeneral, subservient",3,1964.4
62,16,"siglo, xx, oquendo, transmitting, lechn",7,1964.4
63,17,"cold, store, administrators, clasc, christian",2,1964.4
64,18,"exile, corporations, repealedd, thereofiii, choosingi",2,1964.4
65,-1,"riveros, agripino, christian, efigenio, caaguaz",7,1968.0
66,0,"hansen, olavo, hansens, homoeopathy, paragraphs",42,1968.0
67,1,"juregui, argentinian, tucumn, bongiovani, elections",10,1968.0
68,2,"eighteen, settlement, presidential, advantages, binding",2,1968.0
69,3,"mollegas, cadafe, mercano, fetrametal, cabling",2,1968.0
70,4,"vldez, girn, tereso, oliva, tailors",3,1968.0
71,5,"thirtyfive, sumar, administrator, authorisation, manufacturas",1,1968.0
72,6,"luvecce, luvecces, larin, blackmail, pompilio",2,1968.0
73,7,"homoeopathy, goicoechea, misdemeanours, practise, victimisation",5,1968.0
74,8,"fsmn, porvenir, funds, federations, reemphasise",4,1968.0
75,9,"mspero, undersecretary, gathered, aeroplane, immigration",4,1968.0
76,10,"directdated, communicationsent, pharmaceutical, paolo, chemical",2,1968.0
77,11,"firm, embotelladora, count, norte, unwarranted",1,1968.0
78,12,"aviation, aeronautical, villagmez, technicians, serviceb",4,1968.0
79,13,"aute, mobilisation, lockout, registers, emergency",3,1968.0
80,14,"manager, constraint, warder, banks, constrained",1,1968.0
81,15,"christian, fipeso, building, searches, palmar",6,1968.0
82,16,"manufacturing, miners, huanuni, factual, radio",4,1968.0
83,-1,"sobrado, chaves, acua, ziga, alfaro",21,1971.6
84,0,"factfinding, federations, avianca, sobrado, chaves",81,1971.6
85,1,"batalla, burgos, transmitted, beltrn, treinta",8,1971.6
86,2,"iglesias, abdalla, gallin, chimbote, siderperu",3,1971.6
87,4,"procession, zimeri, electrnicas, bonin, limitada",4,1971.6
88,5,"factfinding, takeover, embassy, building, unionism",13,1971.6
89,6,"aguinana, seg, carranza, fuss, romn",1,1971.6
90,7,"devandas, ziga, brenes, alfaro, undeca",12,1971.6
91,8,"factfinding, named, textile, ago, petropolis",3,1971.6
92,9,"undersecretary, gathered, continuesthe, undersecretaries, desirable",13,1971.6
93,10,"questionnaire, duarte, ruy, conceicao, cear",4,1971.6
94,11,"palomino, atlixco, danzs, spicer, tecamachalco",4,1971.6
95,13,"directorgenerals, normalisation, cgtu, invite, connectioniv",13,1971.6
96,14,"peasants, olancho, talanquera, fcl, league",2,1971.6
97,-1,"onion, telegraphs, liberties, telecommunication, deposed",7,1975.2
98,0,"roln, centurin, falkan, considerations, ojeda",33,1975.2
99,1,"palacios, masked, restrictions, palacioss, illtreating",3,1975.2
100,2,"fishermens, cromotex, fishermen, pesca, metallurgical",7,1975.2
101,4,"florida, consortium, celso, bus, cornerstones",3,1975.2
102,6,"trnsito, industries, feccas, bpr, vsquez",10,1975.2
103,7,"stateiv, workersi, hamper, considerations, outlined",1,1975.2
104,8,"medrano, huembes, velarde, ctns, utc",3,1975.2
105,9,"undersecretary, gathered, continuesthe, undersecretaries, desirable",3,1975.2
106,12,"cuisana, guayas, vasquez, aztra, antn",6,1975.2
107,14,"agrarian, brizuela, preamble, reorganisation, contrived",2,1975.2
108,-1,"onion, activitiesthe, chairman, cpustal, garcia",16,1978.8
109,0,"released, factory, trial, rodriguez, salazar",127,1978.8
110,1,"meruvia, cossi, micucci, catavi, miss",3,1978.8
111,2,"marciales, magno, aristbulo, dereliction, suts",14,1978.8
112,3,"sutissbolivar, fetrametal, fetrabolivar, sidor, benitez",2,1978.8
113,4,"ancep, atrg, agae, castellanos, garcia",2,1978.8
114,5,"roiz, building, coordinating, antognini, cns",21,1978.8
115,6,"trial, antmag, mrguez, tejada, tiznado",13,1978.8
116,7,"utracat, stabapari, chiriqui, gimnez, astraa",7,1978.8
117,8,"emergency, sandinist, mill, undp, dreyfus",24,1978.8
118,9,"visa, pichardo, minaya, saillant, cpustal",11,1978.8
119,10,"metalworkers, brasilia, pinheiro, maia, consolidation",12,1978.8
120,13,"belleti, lev, centrobanco, sentenced, forgery",4,1978.8
121,14,"fire, plant, deras, banadesa, vallecillo",9,1978.8
122,15,"corip, sitraecoa, increases, eliduvino, average",2,1978.8
123,16,"sanjins, zuagua, hervs, chambi, mamani",6,1978.8
124,17,"dam, hydroelectric, nurseries, paraguays, repressed",1,1978.8
125,19,"directorgenerals, contacts, excellency, homicide, defendantscase",5,1978.8
126,20,"cath, simon, rmy, jeanbaptiste, chauffeursguides",2,1978.8
127,-1,"caro, asttel, antel, labraa, bustos",8,1982.4
128,0,"bustos, governments, kidnapping, manuel, released",181,1982.4
129,1,"fund, coresponsibility, supplementary, assets, oldage",1,1982.4
130,2,"bartra, rabines, calle, porras, mail",11,1982.4
131,3,"ospv, viasa, aircraft, vianini, corporation",2,1982.4
132,4,"disappeared, whereabouts, kidnapped, listed, kidnapping",19,1982.4
133,5,"building, banished, protest, copper, constramet",30,1982.4
134,6,"fsr, cessa, cemento, incompetent, fpl",4,1982.4
135,7,"guzman, guido, banana, nez, strikers",7,1982.4
136,8,"emergency, passport, nonobservance, amnesty, opinions",19,1982.4
137,9,"tile, indrhi, cut, monetary, iad",12,1982.4
138,10,"pernambuco, sugar, plantations, margarida, fetape",9,1982.4
139,12,"ietel, culluctuc, constable, peasants, pilco",4,1982.4
140,13,"serpa, interunion, cocchi, leal, institutionalising",7,1982.4
141,14,"unrecognised, vindel, sitracoags, ambrosio, recognised",9,1982.4
142,16,"tin, mineworkers, mines, cristbal, decentralisation",4,1982.4
143,17,"textil, clnicas, torales, gamana, carmelino",12,1982.4
144,18,"chaparra, spiritus, sancti, interceded, brewery",1,1982.4
145,19,"contacts, directorgenerals, excellency, guerrero, homicide",12,1982.4
146,20,"cath, illtreatment, activists, caths, returned",2,1982.4
147,-1,"marcano, ancap, francelia, trinitario, monagas",4,1986.0
148,0,"murdered, anta, inquiries, disappearance, murders",120,1986.0
149,1,"missions, highways, roads, managerial, withdrawal",6,1986.0
150,2,"cantoral, cpv, consuelo, automatic, sal",14,1986.0
151,3,"ince, sutdi, fetrabin, schedule, quash",8,1986.0
152,4,"banque, doccident, thecomplainant, atomisation, cusg",7,1986.0
153,5,"espnola, novara, canuta, ozuna, jara",1,1986.0
154,6,"censorship, fishing, cooperative, salvadorea, camaronera",3,1986.0
155,7,"solidarist, plebiscites, phenomena, settlements, advocated",3,1986.0
156,8,"consultations, alegra, radio, upanic, quant",15,1986.0
157,9,"sacks, deaths, hispaniola, ropes, domingo",2,1986.0
158,10,"pires, redonda, volta, ofthe, iron",6,1986.0
159,12,"inefos, trusteeship, chang, sucres, sum",5,1986.0
160,13,"cristaleras, councils, suavestimenta, annima, puma",3,1986.0
161,14,"pucallpa, peasants, cantoral, sal, consuelo",3,1986.0
162,15,"lastra, commerce, vallarino, barria, boyd",3,1986.0
163,16,"hunger, exile, costofliving, supplement, emergency",1,1986.0
164,17,"attendants, flight, hydroelectric, milcades, lneas",6,1986.0
165,19,"contacts, solidarist, settlements, searching, outstanding",5,1986.0
166,-1,"key, muoz, polymer, mochito, cervera",4,1989.6
167,0,"farm, abduction, ranch, physical, pastor",152,1989.6
168,1,"mint, productivity, convertibility, apdfa, recognition",20,1989.6
169,2,"subsection, decrees, automatic, organize, advancement",25,1989.6
170,3,"servivensa, ros, avensa, organic, pilots",11,1989.6
171,4,"steg, camisas, modernas, farm, inbond",7,1989.6
172,5,"fenats, concepcinarauco, corporation, cti, farias",2,1989.6
173,6,"airport, cepa, sipes, port, departmental",1,1989.6
174,7,"solidarist, americas, sarapiqu, antep, democratization",5,1989.6
175,8,"ranch, anden, internacionales, enabas, rayo",7,1989.6
176,9,"corporation, electricity, export, cvor, blacklist",6,1989.6
177,10,"grosso, mato, civilian, eder, red",1,1989.6
178,11,"olaf, inmobiliario, mill, palme, telcor",1,1989.6
179,12,"eviction, conference, ranch, wings, prado",8,1989.6
180,13,"paper, fnp, cuopyc, funsa, cellulose",3,1989.6
181,14,"sitrainva, inva, aguilera, hilario, solidarist",3,1989.6
182,15,"sinaban, inc, cabinet, irhe, sitirhes",5,1989.6
183,17,"cntparaguay, casado, enramada, casino, aregu",3,1989.6
184,18,"gutirrez, choosing, anticuban, rafael, aflcio",3,1989.6
185,19,"contacts, searching, onusal, outstanding, homes",2,1989.6
186,20,"army, reportedly, pierre, cath, feneh",8,1989.6
187,-1,"chamba, jfca, cetape, germnico, tacuara",3,1993.2
188,0,"murdered, murders, file, electro, impunity",177,1993.2
189,1,"uti, bankruptcy, rojo, retired, pensioners",8,1993.2
190,2,"level, melgar, construction, ipss, sutaeipss",12,1993.2
191,3,"avensa, aeronautical, servivensa, flight, firefighters",4,1993.2
192,4,"ceyln, galindo, estate, ajquijay, benavente",6,1993.2
193,5,"ims, slope, building, mandator, worksite",1,1993.2
194,6,"craft, nursing, hospital, assistants, sigesal",5,1993.2
195,7,"asepa, senara, solidarist, fertica, rmolo",8,1993.2
196,8,"redentor, supermarkets, extra, fesimini, baca",2,1993.2
197,9,"soldier, ozama, montellanos, courtmartial, miscarriage",1,1993.2
198,10,"petrobrs, abusive, fup, oil, tribunal",4,1993.2
199,11,"fisheries, fstse, secretariat, natural, environment",1,1993.2
200,12,"agrio, assistants, ecuadorean, faele, lago",4,1993.2
201,13,"lloyds, blsa, igtss, annulment, banking",1,1993.2
202,14,"railroad, fecesitlih, sitraterco, fincas, raid",1,1993.2
203,15,"controllers, traffic, air, aeronautics, apacta",1,1993.2
204,16,"emergency, icftuorit, exile, leunda, aright",3,1993.2
205,17,"feprinco, eximpora, teledifusora, refrescos, drugs",5,1993.2
206,18,"corp, edith, neighbours, younger, cell",6,1993.2
207,-1,"gempo, alegre, porto, port, arizta",5,1996.8
208,0,"etb, sintratelefonos, farm, antiunion, neiva",305,1996.8
209,1,"unlar, academic, irigoyen, conadu, faculty",13,1996.8
210,2,"enafer, luz, bonus, sur, oioe",14,1996.8
211,3,"brigade, fire, fundarte, sintrafundarte, metropolitan",17,1996.8
212,4,"plantations, bananera, mop, panorama, circular",7,1996.8
213,5,"ceremony, senate, cut, assets, confiscated",6,1996.8
214,6,"antel, founders, notary, isss, notarial",5,1996.8
215,7,"unfair, chacn, dvm, assemblies, sixaola",6,1996.8
216,10,"paran, profitsharing, cntif, santana, dues",5,1996.8
217,11,"justo, stprm, sintaconalep, conalep, progressive",3,1996.8
218,12,"emetel, greta, hoyos, agapito, elections",1,1996.8
219,13,"vitalis, aoec, allegranza, pi, amerzine",2,1996.8
220,14,"colsiba, banana, consul, logistic, foreign",1,1996.8
221,15,"imaginary, disproportionate, shutting, event, closing",3,1996.8
222,17,"radio, announcers, christmas, sinfuranp, ismste",3,1996.8
223,19,"insaurralde, sitramis, goti, malamud, contacts",1,1996.8
224,20,"yas, sewing, alix, edh, lveill",3,1996.8
225,-1,"morelos, smtstc, confitalia, metro, espino",6,2000.4
226,0,"tribunal, unapetrol, antiunion, cooperatives, pdvsa",308,2000.4
227,1,"dge, sute, misiones, joint, seoap",21,2000.4
228,2,"srl, edelnor, cam, ftlfp, saa",18,2000.4
229,3,"land, highlevel, consultation, consultations, expropriation",99,2000.4
230,4,"nb, uasp, choi, shin, salam",21,2000.4
231,5,"pilots, practices, andime, ing, worktorule",17,2000.4
232,6,"sitrasepries, airport, inpep, festraspes, siteaies",5,2000.4
233,7,"brokers, andas, insurance, ageins, cmtc",5,2000.4
234,8,"sitradel, fenitec, departmental, counsel, marenco",6,2000.4
235,10,"taubat, passos, elections, amaro, judge",1,2000.4
236,11,"ballot, pilots, electrical, players, inegi",18,2000.4
237,12,"cosmag, chalet, conarem, suisse, iess",2,2000.4
238,13,"afgas, afcasmu, animal, yellow, ximnez",6,2000.4
239,14,"copemh, coprumh, clix, statute, edgardo",1,2000.4
240,15,"fruto, fenasep, appointments, maritime, accreditation",2,2000.4
241,18,"chepe, people, defendants, godines, sentenced",5,2000.4
242,20,"csh, fritz, portauprince, norval, fleurant",1,2000.4
243,-1,"oaxaca, contenidos, horas, panamericana, televisin",4,2004.0
244,0,"antiunion, murders, mti, unit, fmv",318,2004.0
245,1,"atap, ipauss, udocba, guanca, sustainable",23,2004.0
246,2,"sinacut, fetrapep, pesquera, tecnolgica, facilities",14,2004.0
247,3,"girardot, sas, sunep, debts, salas",2,2004.0
248,4,"nach, portela, ramrez, murders, earliest",8,2004.0
249,5,"arauco, contracting, bosques, workplaces, interparking",6,2004.0
250,6,"istu, alimenticios, productos, diana, margin",6,2004.0
251,7,"bills, bill, parliament, tabled, crisis",5,2004.0
252,8,"sintrabancol, pilar, ximena, katalina, nelsy",1,2004.0
253,10,"sinmgra, gravata, unilever, motors, stimmmepa",2,2004.0
254,11,"fgtem, setep, jalisco, vigilance, local",7,2004.0
255,12,"cevallos, simancas, isabel, norman, gave",1,2004.0
256,13,"disagreement, nonessential, operational, recommendationthe, requiring",1,2004.0
257,14,"stibys, cervecera, olman, valladares, ceiba",1,2004.0
258,17,"interbanco, shirley, marisol, abilities, arrears",1,2004.0
259,19,"dissolution, falsifying, ombudsman, unbeknown, attorneygeneral",1,2004.0
260,-1,"thoroughfares, ordinance, pedestrians, traffic, demonstrations",12,2007.6
261,0,"antiunion, expects, deductions, stoppage, promotion",482,2007.6
262,1,"indec, fetera, ampros, city, autonomous",48,2007.6
263,2,"email, port, bnp, library, promotion",44,2007.6
264,3,"pdvsa, lottt, tigre, gas, anaucos",11,2007.6
265,4,"inacif, welfare, sindicato, chimaltenango, trabajadores",10,2007.6
266,5,"anfdgac, directors, replacement, bosque, prodrh",20,2007.6
267,6,"stecg, sitravx, sitcom, isbm, sinejus",20,2007.6
268,7,"febas, sebana, modernization, docks, samuels",9,2007.6
269,8,"mined, granada, diriomo, nerpe, sitravice",2,2007.6
270,9,"elsamex, sl, codacsa, ciramar, frito",4,2007.6
271,10,"conalis, ratification, contributions, proposal, prohibitory",11,2007.6
272,11,"ballot, vote, potos, stracc, untems",20,2007.6
273,12,"fetrapec, elctrica, constituent, ministerial, unidad",5,2007.6
274,13,"councils, parliament, dna, animal, livestock",10,2007.6
275,14,"hourly, proneh, sitrarenape, venus, confectionery",2,2007.6
276,15,"odebrecht, retraneq, sintup, anatso, project",3,2007.6
277,16,"fensegural, cstsb, panduro, camacho, cns",3,2007.6
278,17,"penayo, marcia, addendum, erenia, itapa",5,2007.6
279,19,"sintradoc, randy, telebucaramanga, philippines, arturo",2,2007.6
280,-1,"lomp, contracting, dockworkers, shipping, river",6,2011.2
281,0,"antiunion, pension, iv, sinaltrainal, utp",264,2011.2
282,1,"sutap, cgtra, apoc, agtsyp, sitrajucaba",11,2011.2
283,2,"epsa, motta, tandaypn, arbitrators, promotion",31,2011.2
284,3,"freites, cement, antracem, futpv, sintraegalletera",14,2011.2
285,4,"olympic, welfare, sports, stpigss, directorategeneral",24,2011.2
286,5,"intercompany, cbt, buses, fesuc, bus",11,2011.2
287,6,"isss, insaforp, finance, sitramha, stratse",13,2011.2
288,7,"pais, undeca, ucr, barrantes, ccss",2,2011.2
289,8,"stigss, stidpp, igss, pumay, shift",1,2011.2
290,9,"asitraredo, idac, cnus, enemencio, firms",3,2011.2
291,11,"snmm, sntmmss, stims, ballot, voting",2,2011.2
292,12,"purchase, redundancy, amendments, fme, compulsory",3,2011.2
293,14,"comercial, cemcol, similares, sitraccmaccos, casa",2,2011.2
294,15,"canal, voitier, upcp, loacp, sitrasejup",8,2011.2
295,16,"miners, stations, transmitters, radio, coordinators",9,2011.2
296,-1,"ars, salary, joint, teaching, provinces",12,2014.8
297,0,"acdac, compilation, iv, antiunion, accord",251,2014.8
298,1,"city, appj, suteco, joint, teaching",31,2014.8
299,2,"llacta, sitramun, sunafil, caee, sinesss",21,2014.8
300,3,"sintraterricentropolar, unete, sutraba, girot, dgcim",8,2014.8
301,4,"hoc, ad, sintrafe, tax, ombudsman",19,2014.8
302,5,"assistants, corporations, srci, establishments, anercich",14,2014.8
303,6,"tsc, conamype, birth, stsel, stesec",18,2014.8
304,7,"university, aresep, adjustment, rector, annuity",7,2014.8
305,9,"sinatrae, sinatesa, airport, sitraviam, nurses",2,2014.8
306,10,"fastfood, restaurants, secefergs, tjmg, brl",10,2014.8
307,11,"sunitel, sitisseg, sutsem, sindilacctm, chiapas",7,2014.8
308,12,"banana, plantation, mdt, founding, sinutrhe",6,2014.8
309,13,"absorption, sat, absorbed, fonasa, coverage",1,2014.8
310,14,"sitradei, dei, oversight, sitrahonducor, subbranch",6,2014.8
311,15,"conusi, project, ugt, airline, capac",5,2014.8
312,16,"ombudsperson, medical, class, subconstitutional, reinforced",5,2014.8
313,17,"binational, sitrapren, entity, yacyret, gratia",3,2014.8
314,18,"trips, zaldvar, zamora, harassment, untrue",8,2014.8
315,0,"fenapes, melndez, dges, compilation, sunafil",63,2018.4
316,1,"cnea, nuclear, sectoral, apcnean, arn",2,2018.4
317,2,"cot, suttp, hereinafter, sunafil, sutracadd",2,2018.4
318,3,"hatred, sinstrapescave, whatsapp, aquaculture, messages",3,2018.4
319,4,"gflg, sitra, sintraflgua, sales, corporate",1,2018.4
320,5,"offer, stcle, latam, areo, unification",1,2018.4
321,6,"dada, simn, melndez, directors, business",3,2018.4
322,7,"sintrastafcor, concession, container, atlantic, mtss",3,2018.4
323,9,"preschool, teaching, stoppages, barahona, indiscriminate",1,2018.4
324,10,"pm, clt, mandatory, contributions, contribution",1,2018.4
325,12,"anercic, conasep, mdt, posts, abolition",7,2018.4
326,13,"highavailability, surgical, councils, anaesthetists, msp",3,2018.4
327,14,"guanchias, executing, merger, implied, dues",4,2018.4
328,15,"sitehostac, mcdrtpo, hendricks, arqumedes, concurrent",3,2018.4
329,16,"oil, parent, cpe, ypfb, leadership",2,2018.4
